r(C-OH)	r(c-Cl)	HoF(kcal/mol)
2.95	2.35	3.27108
2.95	2.3	0.984841
2.95	2.25	-1.14413
2.95	2.2	-3.025373
2.95	2.15	-4.553357
2.95	2.1	-5.608425
2.95	2.05	-6.058188
2.95	2	-5.758783
2.95	1.95	-4.555219
2.95	1.9	-2.27997
2.95	1.85	1.251514
2.95	1.8	6.247786
2.95	1.75	12.95273
2.95	1.7	21.65977
2.95	1.65	32.728659
2.95	1.6	46.603548
2.95	1.55	63.830835
2.95	1.5	85.075206
3	1.5	85.279216
3	1.55	64.073161
3	1.6	46.886151
3	1.65	33.053551
3	1.7	22.029018
3	1.75	13.368466
3	1.8	6.712218
3	1.85	1.766932
3	1.9	-1.711207
3	1.95	-3.93072
3	2	-5.076207
3	2.05	-5.315376
3	2.1	-4.803578
3	2.15	-3.68523
3	2.2	-2.09344
3	2.25	-0.148658
3	2.3	2.042818
3	2.35	4.389874
3	2.4	6.816855
3	2.45	9.263033
3	2.5	11.681424
3	2.55	14.037152
3	2.6	16.305615
3	2.65	18.470618
3	2.7	20.522622
3	2.75	22.457197
3	2.8	24.273705
3	2.85	25.974238
3	2.9	27.562763
3	2.95	29.044478
3	3	30.425317
